consecutive_number,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_,f13_,f14_,f15_
122991,Florida,Urban,2016-11-01T19:23:00Z,Dusk,27.17429722,-80.24690278,Dry,Not Reported,Curve Right,Level,No,40,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120142,Florida,Urban,2016-02-02T22:11:00Z,Dark – Not Lighted,28.55254444,-81.27076111,Dry,Not Reported,Straight,Level,No,40,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120776,Florida,Urban,2016-04-18T16:48:00Z,Daylight,25.71188889,-80.41513056,Dry,Not Reported,Straight,Level,No,30,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121614,Florida,Rural,2016-07-16T13:15:00Z,Daylight,28.21271944,-81.98352778,Dry,Not Reported,Straight,Level,No,0,Not Distracted,None/Apparently Normal,"Not-in-Transport Motor Vehicle (Parked, Working)",Clear
120995,Florida,Urban,2016-05-16T02:16:00Z,Dark – Not Lighted,26.29231389,-80.11964722,Dry,Not Reported,Straight,Level,No,50,Not Distracted,None/Apparently Normal,Other Visual Obstruction,Clear
121976,Florida,Rural,2016-09-17T21:20:00Z,Dark – Not Lighted,30.59527778,-84.08380278,Dry,Not Reported,Curve Left,Level,No,40,Not Distracted,None/Apparently Normal,Other Visual Obstruction,Clear
120983,Florida,Rural,2016-05-11T05:50:00Z,Dark – Not Lighted,28.22879444,-82.64403889,Dry,Not Reported,Curve Right,Level,No,60,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121933,Florida,Rural,2016-08-28T22:33:00Z,Dark – Not Lighted,28.10331667,-82.58306389,Dry,Not Reported,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122475,Florida,Rural,2016-11-13T06:25:00Z,Dawn,28.33982222,-82.544775,Dry,Not Reported,Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121918,Florida,Urban,2016-09-01T21:57:00Z,Dark – Not Lighted,25.59818889,-80.33818889,Dry,Not Reported,Straight,Level,No,40,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
